id,success,k1,step,video_name,image_num,image_path
0,0,3728,In the recipe 100 layer giant crepe cake  In a very large bowl  whisk together 12 cups (1.5 kg) of flour  1⁄2 cup (100 g) of sugar  and 2 teaspoons of salt.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00236,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00236.jpg
1,0,28,In the recipe 100 layer giant crepe cake  Create a well in the center and add 24 eggs.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00453,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00453.jpg
2,0,26,In the recipe 100 layer giant crepe cake  Stir together vigorously with a large wooden spoon until combined.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00586,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00586.jpg
3,0,8,In the recipe 100 layer giant crepe cake  Add 1 cup (240 ml) of milk and continue to stir vigorously until combined.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00791,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00791.jpg
4,0,12,In the recipe 100 layer giant crepe cake  Add 11⁄2 cups (345 g) of the melted butter.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,00941,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/00941.jpg
5,0,802,In the recipe 100 layer giant crepe cake  Stir until combined.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01013,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01013.jpg
6,0,858,In the recipe 100 layer giant crepe cake  Gradually add 14 more cups (3.3 l) of milk to the batter  stirring well after each addition.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01128,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01128.jpg
7,0,4888,In the recipe 100 layer giant crepe cake  Once the batter has loosened a bit  switch from the wooden spoon to a heavy duty whisk.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01213,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01213.jpg
8,0,4888,In the recipe 100 layer giant crepe cake  Whisk vigorously to remove any clumps.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01283,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01283.jpg
9,0,3720,In the recipe 100 layer giant crepe cake  Once the milk is incorporated and there are no more lumps  whisk in 1 cup (240 ml) of water and 2 tablespoons of vanilla.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01471,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01471.jpg
10,0,12,In the recipe 100 layer giant crepe cake  Repeat steps 1-7 to prepare the second batch of batter.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01643,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01643.jpg
11,0,12,In the recipe 100 layer giant crepe cake  Pour 1⁄2 cup (120 ml) of batter onto the heated griddle and swirl evenly to coat.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,01858,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/01858.jpg
12,1,12,In the recipe 100 layer giant crepe cake  Cook for approximately 2 minutes  until the crepe begins to lightly brown on the bottom.,/mnt/e/TastyFrames/100-layer-giant-crepe-cake,02053,/mnt/e/TastyFrames/100-layer-giant-crepe-cake/frames/02053.jpg
